구분,평일,토요일,일요일
서울,23.2,24.8,23.8
부산,20.6,21.7,22.0
대구,20.5,22.3,23.3
인천,21.8,23.5,23.3
광주,16.8,17.0,16.5
대전,17.0,18.1,17.4
울산,16.6,18.0,18.3
세종,17.2,17.6,17.5
경기,22.3,24.3,23.7
강원,15.1,15.6,15.1
충북,16.1,16.7,16.2
충남,15.7,16.7,16.3
전북,16.3,16.6,15.7
전남,21.1,21.2,21.3
경북,17.3,17.7,17.7
경남,17.8,18.2,18.6
제주,46.8,47.7,46.7
