구분,평일,토요일,일요일
서울,23.7,24.9,24
부산,20.5,21.5,21.4
대구,20.2,20.6,21
인천,23.2,25.1,24.7
광주,23.2,25.1,24.7
대전,17.1,17.7,17.5
울산,17.2,17.5,18
세종,17,17.8,16.8
경기,22.9,24.6,23.8
강원,22.9,27.7,27.7
충북,17,17.2,17
충남,25.4,28.7,28.3
전북,15.3,16.4,15.5
전남,19.9,20.1,20.5
경북,22.2,22.1,21.5
경남,19.8,20.8,21
제주,22.6,23,23.4
