구분,평일,토요일,일요일
서울,23.9,25.3,24.3
부산,19.2,20.1,20.2
대구,18.3,18.5,18.8
인천,23,24.9,24.7
광주,16.5,16.7,16
대전,17.2,18.2,17.5
울산,17.5,19.3,19.3
세종,16.9,17.2,16.6
경기,22.8,24.5,23.8
강원,15.6,16.3,15.4
충북,16.2,16.9,16.4
충남,16.2,17.3,17
전북,14.7,15.5,14.8
전남,18.5,18.5,18.4
경북,17,17.1,16.8
경남,15.2,15.4,15.1
제주,21.2,21.8,21.6
