구분,평일,토요일,일요일
서울,23.7,25.1,24
부산,20.4,21.6,21.6
대구,20.9,21.4,21.6
인천,22.4,24.1,23.6
광주,16.4,17,16
대전,17.2,18.1,17.7
울산,17.1,18.9,18.5
세종,16.4,16.7,16.3
경기,22.7,24.5,23.6
강원,15.9,16.1,15.6
충북,16.4,17.6,16.3
충남,15.5,16.5,15.9
전북,14.7,15.5,14.7
전남,19.7,19.3,19.5
경북,16.9,17.3,17.1
경남,17.2,18,18.2
제주,20.9,21.7,21.5
