"시도(1)","시군구(1)","레벨01(1)",2011. 01,2011. 01,2011. 01,2011. 01,2012. 01,2012. 01,2012. 01,2012. 01,2013. 01,2013. 01,2013. 01,2013. 01,2014. 01,2014. 01,2014. 01,2014. 01,2015. 01,2015. 01,2015. 01,2015. 01,2016. 01,2016. 01,2016. 01,2016. 01,2017. 01,2017. 01,2017. 01,2017. 01,2018. 01,2018. 01,2018. 01,2018. 01
"시도(1)","시군구(1)","레벨01(1)",계,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용
"서울","계","총계",2991173,10487,2761341,219345,2980456,10727,2761512,208217,2973804,10762,2764418,198624,2981263,10882,2776127,194254,3021688,11068,2814891,195729,3063247,11140,2856048,196059,3091903,11255,2883800,196848,3118469,11930,2906869,199670
"서울","강남구","총계",253751,431,218372,34948,246630,285,212266,34079,237561,280,210736,26545,235435,299,212483,22653,241178,332,220263,20583,244925,342,224024,20559,243194,350,222719,20125,238211,367,217901,19943
"제주","계","총계",251804,1461,226592,23751,258082,1526,231622,24934,298472,1636,263879,32957,338928,1715,288607,48606,388996,1751,314244,73001,438283,1847,340354,96082,469392,1969,355700,111723,504384,2124,363943,138317
